Timestamp	Which course is your feedback for?	How do you find switching to Google Plus Community instead of Blackboard.com?	How do you find switching to the public course Web site instead of Blackboard.com hosted files?	How do you find switching to HTML articles for presentation instead of powerpoint?	How do you find the "napkin" feature (handwritten animations)?	Best thing about the course so far in one sentence.	Worst thing about the course so far in one sentence.	How do you find the pace of the lectures?
1/27/2015 1:30:00	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer HTML articles	I like it - it is illustrative.	love the prof's enthusiasm and the way he teaches the course (especially with git and the hands on approach as well)	the prof is a bit too fast, especially since some for the content is being taught the first time - would totally help if it was a bit slower 	Too fast
1/27/2015 7:41:52	CSCI 2020U: Software System Development & Integration	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer powerpoint	I am neutral to it.			Too fast
1/27/2015 10:06:54	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer powerpoint	I like it - it is illustrative.	Prof is good	Expected previous knowledge is too high	Too fast
1/27/2015 10:22:38	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles	I like it - it is illustrative.			Okay
1/27/2015 11:57:55	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles	I am neutral to it.	It was only $996.	Java.	Okay
1/28/2015 1:03:02	CSCI 2020U: Software System Development & Integration	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles	I like it - it is illustrative.			Okay
1/28/2015 8:59:35	CSCI 2020U: Software System Development & Integration	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles	I like it - it is illustrative.	Fairly interactive	Not used to command line coding	Okay
1/28/2015 11:14:02	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles	I like it - it is illustrative.	My professor is such a cool guy.	Compilers is like my nigtmare.	Too fast
1/28/2015 11:19:20	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles	I am neutral to it.	the notes on HTML articles	having to keep up with the google plus community	Okay
1/28/2015 12:15:00	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer HTML articles	I am neutral to it.	programming		Too fast
1/28/2015 12:26:06	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer Blackboard hosted content	I prefer powerpoint	I am neutral to it.	Languages are cool.	Using the course website	Okay
1/28/2015 12:37:41	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer powerpoint	I like it - it is illustrative.	Tutorials are very helpful.	Material is a little dry.	Okay
1/29/2015 9:59:00	CSCI 4020U/SOFE 3960U: Compiler & Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles	I am neutral to it.	Material is interesting.	Having to go back and look up mathematical notation.	Okay
1/29/2015 10:01:34	CSCI 3055: Programming Languages	I prefer blackboard.com	I prefer public course Web site	I prefer HTML articles	I am neutral to it.	The professor's enthusiasm for programming languages. 	Language theory is dry.	Okay
